name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
冬雨前装甲,TDB_dong_yu_armor,冬雨前装甲,弧光设计局,damper,,4000,1400,4000,3750,400,30,,10,400,300,60,90,200,FRONT,,120,0,0.6,,,0,0,,,,,,,,,300,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,2,TDB_xun_hang,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
层积云,TDB_ceng_ji_yun,航空母舰,弧光设计局,TDB_targetingfeed2,17,5000,750,5000,6000,300,100,3,80,60,40,20,25,800,FRONT,,120,0.4,0.8,,,150,300,600,150,3,27,8,200000,3,12,600,0.25,22,22,CARRIER,"TDB_bp, no_autofit",,0.4,2,4,TDB_xun_hang,500
迭浪云,TDB_he_feng,重型货舰,弧光设计局,flarelauncher,7,6000,300,2750,2000,100,55,,40,20,10,10,10,1500,FRONT,,150,0.5,1,,,40,200,800,220,3,40,7,50000,3,20,480,0.25,7,7,CIVILIAN,"TDB_bp, no_autofit",,0.6,2,3,TDB_xun_hang,411
恒风,TDB_hengfeng,战列舰,弧光设计局,TDB_wu_qi,25,15000,1000,13000,25000,1250,270,2,35,50,40,8,8,3000,OMNI,,180,0.25,0.8,,,400,800,400,450,8,56,7,500000,4,20,600,0.25,48,48,,"TDB_bp, no_autofit",,0.6,2,4,TDB_xun_hang,505
风弦,TDB_feng_xian,护卫舰,弧光设计局,TDB_qu_dong,10,1500,150,7500,1875,650,65,,160,120,100,60,120,200,OMNI,,180,0.4,0.8,,,15,30,40,20,1,20,10,60000,7,20,180,0.25,16,16,,"TDB_bp, no_autofit",,0.5,2,2,TDB_xun_hang,220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夜光云机库,TDB_ji_ku2,舰船特殊模块,弧光设计局,TDB_shui_yin_deng,1,5000,1000,6000,6667,400,1,2,0,90,60,40,100,300,NONE,,0,0.3,0,,,35,50,50,40,2,20,9,60000,5,20,300,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,0.7,2,3,,309
夜光云,TDB_ye_guang_yun,护卫舰,弧光设计局,TDB_FortressShieldStats,5,1500,160,4000,1500,100,35,,90,120,100,60,120,200,OMNI,,360,0.5,0.8,,,15,30,30,20,1,20,10,25000,8,10,480,0.25,6,6,SHIP_WITH_MODULES,"TDB_bp, no_autofit",,0.5,2,2,TDB_xun_hang,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自动炮台,TDB_pao_tai,无人炮台,弧光设计局,TDB_canister_flak,,3000,500,3000,3750,500,40,1,10,400,300,60,90,200,FRONT,,360,0,0.8,,,0,0,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,2,,6
穹顶,TDB_qiong_ding,大型巡洋舰,弧光设计局,TDB_turretdeploy,22,14000,1200,13000,14000,800,230,2,50,35,25,12,15,2000,OMNI,,180,0.4,0.9,,,150,300,150,150,5,30,8,200000,3,15,420,0.25,38,38,SHIP_WITH_MODULES,"TDB_bp, no_autofit",,0.5,2,3,TDB_xun_hang,414
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云城左小型货箱,TDB_yun_cheng_box1,云城小型货箱,弧光设计局,,7,5000,300,4000,2000,200,0,,25,10,10,10,10,4000,NONE,,150,0.5,1,,,80,150,2000,1000,6,40,6,98000,3,20,600,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX, CIVILIAN",no_autofit,,0.6,2,3,TDB_xun_hang,411
云城左大型货箱,TDB_yun_cheng_box2,云城大型货箱,弧光设计局,,7,8000,300,4000,2000,200,0,,25,10,10,10,10,4000,NONE,,150,0.5,1,,,80,150,2000,1000,6,40,6,98000,3,20,600,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX, CIVILIAN",no_autofit,,0.6,2,3,TDB_xun_hang,411
云城右小型货箱,TDB_yun_cheng_box4,云城小型货箱,弧光设计局,,7,5000,300,4000,2000,200,0,,25,10,10,10,10,4000,NONE,,150,0.5,1,,,80,150,2000,1000,6,40,6,98000,3,20,600,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX, CIVILIAN",no_autofit,,0.6,2,3,TDB_xun_hang,411
云城右大型货箱,TDB_yun_cheng_box3,云城大型货箱,弧光设计局,,7,8000,300,4000,2000,200,0,,25,10,10,10,10,4000,NONE,,150,0.5,1,,,80,150,2000,1000,6,40,6,98000,3,20,600,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX, CIVILIAN",no_autofit,,0.6,2,3,TDB_xun_hang,411
云城,TDB_yun_cheng,超级武装货舰,弧光设计局,TDB_shui_yin_deng_a,7,8000,300,5000,2000,300,60,1,25,10,10,10,10,4000,OMNI,,150,0.5,1,,,80,150,2000,1000,6,40,6,98000,3,20,600,0.25,22,22,"SHIP_WITH_MODULES, CIVILIAN","TDB_bp, no_autofit",,0.6,2,3,TDB_xun_hang,411
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#越空防壁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穿云,TDB_chuan_yun_1,无人预警舰,越空防壁,TDB_SY,11,4000,500,3500,6667,200,60,,70,90,60,40,100,400,OMNI,,180,0.3,0.6,,,0,0,50,40,2,20,9,20000,5,20,300,0.25,8,8,HIDE_IN_CODEX,no_autofit,,0.7,2,3,TDB_xun_hang,309
风压,TDB_feng_ya_1,无人驱逐舰,越空防壁,TDB_piao_yi,10,4000,350,6000,6667,450,75,,90,90,60,40,100,300,OMNI,,180,0.3,0.6,,,0,0,50,40,2,20,9,20000,5,20,300,0.25,11,11,HIDE_IN_CODEX,no_autofit,,0.7,2,3,TDB_xun_hang,309
细雨,TDB_xi_yu_1,无人轻型航空母舰,越空防壁,TDB_targetingfeed,5,1500,200,2000,1250,150,45,1,130,120,70,90,180,200,OMNI,,180,0.5,0.6,,,0,0,100,40,1,40,9,6500,8,20,240,0.25,6,6,"CARRIER,COMBAT,HIDE_IN_CODEX",no_autofit,,,,,TDB_xun_hang,
寒天学者,TDB_ht,无人相位巡洋舰,越空防壁,TDB_dao_dan,20,10000,1400,10000,,650,150,,90,80,60,40,60,1500,PHASE,TDB_phasecloak,,,,0.03,0.03,0,0,80,150,3,20,8,300000,4,24,420,0.25,35,35,"HIDE_IN_CODEX, PHASE",no_autofit,,0.6,3,5,TDB_xun_hang,401
激流,TDB_ji_liu_1,无人战列巡洋舰,越空防壁,TDB_yq,20,13000,1250,18000,25000,1200,300,2,60,50,40,10,10,2500,OMNI,,180,0.25,0.6,,,0,0,400,450,8,56,8,180000,4,20,600,0.25,52,52,HIDE_IN_CODEX,no_autofit,,0.6,2,4,TDB_xun_hang,505
太阳雨,TDB_tai_yang_yu_1,无人武库舰,越空防壁,TDB_FortressShieldStats,30,17000,1550,14500,15000,1050,290,3,40,40,30,8,8,4000,OMNI,,360,0.4,0.6,,,0,0,600,900,8,27,7,200000,3,12,600,0.25,55,55,HIDE_IN_CODEX,no_autofit,,0.4,2,4,TDB_xun_hang,500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#剧情舰船,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鸢尾,TDB_yuan_wei,相位穿梭机,失温症,phaseteleporter,6,1200,200,2000,1000,300,27,,150,120,100,120,150,125,PHASE,phasecloak,120,0.5,1,0.03,0.03,2,10,50,15,0.5,30,9,4000,5,20,180,0.25,6,6,HIDE_IN_CODEX,,,0.4,2,2,,666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雪衣,TDB_gugu,无人机补给舰,失温症,TDB_yq_gugu,6,900,150,1400,1000,80,25,,140,150,75,45,85,120,OMNI,,150,0.5,0.8,,,2,30,30,15,1,15,9,4000,5,20,180,0.25,6,6,HIDE_IN_CODEX,,,,,,TDB_xun_hang,666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人造光,TDB_ren_zhao_guang,战列舰,失温症,TDB_li_zi_pao,25,18000,1500,22000,25000,1000,220,,40,50,40,8,8,3000,OMNI,,180,0.25,0.9,,,400,800,400,450,8,56,8,330000,4,20,600,0.25,40,40,HIDE_IN_CODEX,ungp_onslaught,,0.6,2,4,,505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纳米机库,TDB_na_mi_ji_ku,舰船特殊模块,失温症,TDB_na_mi_ji_qun,11,5000,1000,6000,6667,400,1,2,0,90,60,40,100,300,NONE,,0,0.3,0,,,35,50,50,40,2,20,9,60000,5,20,300,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,0.7,2,3,,309
灰风,TDB_hui_feng,纳米拦截舰,失温症,TDB_na_mi,17,11000,800,11000,14000,550,120,,65,45,25,20,15,1500,OMNI,,180,0.4,1,,,0,1,150,150,5,30,8,200000,3,15,420,0.25,20,20,"HIDE_IN_CODEX, SHIP_WITH_MODULES",restricted,,0.5,2,3,,414
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三色堇,TDB_Pansy,驱逐舰,失温症,TDB_san_se_jin,13,5000,350,9000,,500,90,1,100,80,55,40,55,500,OMNI,,270,0.4,0.8,,,25,40,50,60,3,30,10,100000,5,15,420,0.25,25,30,HIDE_IN_CODEX,,,0.8,4,8,TDB_xun_hang,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#战机联队,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泛光源,TDB_fan_guang_yuan,无人截击机,弧光设计局,,,200,25,150,,50,0,,335,500,400,90,270,15,OMNI,,160,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,
点光源,TDB_dian_guang_yuan,无人支援机,弧光设计局,flarelauncher_active,,800,400,500,,160,0,,140,250,200,100,200,40,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,
偏振光,TDB_pian_zhen_guang1,轰炸机,弧光设计局,,,500,25,1000,,50,0,,260,360,360,360,180,50,OMNI,,200,0,1,,,3,3,,,,,,,,,,,,,,,,,,,,
可见光,TDB_ke_jian_guang,无人轰炸机,越空防壁,,,1000,250,500,,50,0,,170,360,360,360,180,50,NONE,,180,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,
漫反射,TDB_man_fan_she,无人支援炮艇机,越空防壁,,,900,400,800,,1000,25,,145,65,35,60,85,120,NONE,,150,0.5,0.8,,,0,0,30,15,1,15,9,4000,5,20,180,0.25,2,2,,,,,,,,
全反射,TDB_quan_fan_she,精英战斗机,弧光设计局,TDB_ban_fei,,800,100,800,2500,100,0,,210,300,220,110,160,100,OMNI,,360,0,1,,,3,3,,,,,,,,,,,,,,,,,,,,
弥散光,TDB_mi_san_guang,无人战斗机,越空防壁,flarelauncher_fighter,,500,110,400,,80,0,,200,400,350,90,180,30,FRONT,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,
双折射,TDB_shuang_zhe_she,无人战斗机,越空防壁,,,500,200,400,,50,0,,200,400,350,90,180,30,NONE,,0,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,
变革,TDB_bian_ge,拦截炮艇机,弧光设计局,TDB_canister_flak,,2000,225,2000,,250,0,,190,180,125,50,50,75,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#特殊生成战机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纳米战机,TDB_na_mi_zhan_ji,纳米战机,失温症,,,3000,400,1600,,400,50,,250,400,300,60,90,200,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,,,,,
水银灯,TDB_shui_yin_deng,无人防御平台,弧光设计局,,,2000,400,500,,100,1000,,1000,1000,1000,1000,1000,200,NONE,,180,0,1,,,0,0,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,,,,,
畏光症,TDB_wei_guang_zheng,无人战斗机,越空防壁,,,600,50,400,2500,100,0,,220,300,220,110,160,100,OMNI,,360,0,1,,,0,0,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,,,,,
脉冲光,TDB_ji_yu_yun_drone,无人战斗机,越空防壁,,,300,100,150,,50,0,,300,500,0,90,270,15,NONE,,160,0,0,,,0,0,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,,,,,
