name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
风阻近防炮,TDB_feng_zu,1,,200,600,,30,,1,75,5,,,,FRAGMENTATION,2,,0,0.07,1,,0,10,1,5,,1000,,,10,PD,"TDB_bp,pd7, SR, merc",,弧光设计局,,点防御,,,,,,,,,,
银花脉冲炮,TDB_yin_hua,1,,250,450,,100,,0,50,6,,,,ENERGY,90,,0,0.4,,,,,,,,1000,,,,,"he18 ,LR, hist1t, merc",,弧光设计局,,多功能,,,,,,,,,,
海桐导弹发射架,TDB_hai_tong,1,,250,1400,,50,200,15,50,6,,,,ENERGY,60,,0,8,8,0.1,0,0,0,0,,400,400,3.5,50,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","TDB_bp, utility8, missile0, merc, ind",,弧光设计局,,瘫痪,,,,,{%s}命中船体/护盾时，造成同等与弹丸 EMP 伤害的电弧,电磁弹头:,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
霜糖哨戒炮,TDB_shuang_tang,1,,200,1000,,20,,1,75,0,,,,ENERGY,0,,0,1,1,,0,10,1,10,,800,,,10,,"he18 ,LR, hist1t, merc",,越空防壁,,压制,,,,,,,,,,
寒潮无人机发射舱,TDB_han_chao,1,,1500,8000,,400,20,25,30,30,1,0.2,,HIGH_EXPLOSIVE,2000,,1,1,1,,0,0,0,0,,100,400,10,1000,"DO_NOT_AIM,FIRE_WHEN_INEFFICIENT","restricted, he18, LR",,越空防壁,,无人机发射器,,,,,"{%s}当战机血量低于阈值时会冲向敌舰，并照成 {%s} 高爆伤害，飞机将在{%s}s后因耗尽电力自毁。
{%s}无人机血量{%s} 无人机装甲{%s} 无人机容量{%s} 无人机耗散{%s} 无人机航速{%s} ",天空之镜融毁协议:|500|60|畏光症无人机:|:600|:50|:400|:100|:220,,,,
云影质子撞击炮,TDB_yuen_ying,1,,5000,800,,300,,250,5,13,,,,HIGH_EXPLOSIVE,300,,0,2,1,,0,8,4,8,,800,,,400,,"he18 ,LR, hist1t, merc",,越空防壁,,反结构,,,,,{%s}当命中船体时，额外造成 {%s} 破片伤害。对于残骸拥有额外伤害,链式反应弹头:|500,,,,8
超重型云影质子撞击炮,TDB_yun_ying_L,1,,5000,800,,600,,250,5,30,,,,HIGH_EXPLOSIVE,750,,0,8,6,0.4,0,8,4,8,,800,,,400,,"he18 ,LR, hist1t, merc",,越空防壁,,反结构,,,,,{%s}当命中船体时，额外造成 {%s} 破片伤害。并对{%s}范围内的其他敌人造成随范围衰减的{%s}高爆伤害。对于残骸拥有额外伤害,链式反应弹头:|600|100|250,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#装饰武器#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
航迹灯蓝,TDB_hang_ji_deng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,弧光设计局,,,,,,,,,,,,47
航迹灯红,TDB_hang_ji_deng2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,弧光设计局,,,,,,,,,,,,47
航迹灯蓝(大),TDB_hang_ji_deng_da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,弧光设计局,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
激流轴炮左,TDB_ji_liu_L,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
激流轴炮右,TDB_ji_liu_R,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
激流烟雾发生器,TDB_yan_wu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,弧光设计局,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风弦舰首武器盖板,TDB_feng_xian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,弧光设计局,,,,,,,,,,,,47
风弦引擎盖板,TDB_feng_xian2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,弧光设计局,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冬雨引擎盖板,TDB_dong_yu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,弧光设计局,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
层积云左导弹盖板,TDB_ceng_ji_yun_gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,弧光设计局,,,,,,,,,,,,47
层积云右导弹盖板,TDB_ceng_ji_yun_gy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,弧光设计局,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可见光中置鱼雷盖板,TDB_ke_jian_guang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,弧光设计局,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
引擎控制器,TDB_EngineController,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,弧光设计局,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#技能武器＃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实验空雷,TDB_minelayer,,,200000,1000,,2000,,25,30,12,30,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,50,50,20,500,SYSTEM,,,弧光设计局,,,,,,,,,,,,
相位导弹,TDB_xiang_wei,,0.5,600,1100,,0,,25,10,6,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,500,100,7,400,SYSTEM,,,弧光设计局,,终结打击,,,,,,,,1000,TRUE,4354
相位导弹(上浮),TDB_xiang_wei2,,,11000,4000,,400,28,25,2,400,1,0.1,1,ENERGY,0,,1,1,1,,0,0,0,0,,400,100,10,400,"SYSTEM,DO_NOT_AIM,DIRECT_AIM",,,弧光设计局,,终结打击,,,,,,,,,,4365
预充能式离子长枪,TDB_li_zi_chang_qiang,,0.5,8000,1000,2300,,5000,0,7,25,,,,ENERGY,,150,3,1,1,4,,,,,90000,,,,,SYSTEM,,,弧光设计局,,反装甲,,,,,,,,,,
天空之镜自毁系统,TDB_shuang_yue2,1,,1500,8000,,500,20,25,30,25,,,,ENERGY,0,,0,25,1,,0,0,0,0,,600,0,10,100000,SYSTEM,,,越空防壁,,无人机发射器,,,,,,,,,,
近防技能武器,TDB_flak,1,,3500,300,,130,,40,12,20,,,,FRAGMENTATION,0,,0,2,3,0.1,200,200,200,200,,700,,,100,SYSTEM,,,弧光设计局,,点防御,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#内置武器＃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
双折射光束炮,TDB_shuang_zhe_she,,,,400,150,,,0,,,,,,HIGH_EXPLOSIVE,,0,0,0.25,,,,,,,1200,,,,,"SYSTEM,PD,ANTI_FTR",,,越空防壁,,反装甲,,,,,,,,,,
脉冲光无人机光束,TDB_ji_yu_yun_drone_beam,,,,700,100,,,0,1000,,,,,ENERGY,,0,0,0.25,,,,,,,3000,,,,,SYSTEM,,,越空防壁,,反装甲,,,,,,,,,,
全反射机炮,TDB_quan_fan_she,,,600,400,,100,50,0,20,0,,,,ENERGY,20,,1.7,1.8,8,0.1,0,6,0.5,2,,1200,,,,SYSTEM,,,弧光设计局,,通用,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寒天等离子炮,TDB_han_tian,3,1,22000,800,,400,400,20,10,0,,,,HIGH_EXPLOSIVE,600,,1.5,8,1,1,0,0,0,0,,1200,,,,SYSTEM,,,越空防壁,,瘫痪压制,,,,,{%s}命中时将造成{%s}条同等与武器emp伤害的电弧，电弧可以穿透护盾,电磁弹头:|10,,,,1311
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
灵感光束炮,TDB_ling_gan,3,0.5,8000,1000,2500,,1000,0,7,30,1,0.07,1,ENERGY,,1400,1.5,1,1,4,,,,,10000,,,,,SYSTEM,,,越空防壁,,特殊系统,,,,,"{%s}该武器参与击杀将会瞬间使得舰船技能冷却完毕。
{%s}当舰船使用技能后，该武器会瞬间回满弹药。",摄魂夺魄:|循环充能:,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
机载云鸣鱼雷发射架,TDB_foehn,,0.5,600,1600,,2500,,25,10,6,1,,,ENERGY,0,,0,1,1,,0,0,0,0,,800,800,7,450,SYSTEM,,,弧光设计局,,终结打击,,,,,,,,1000,TRUE,4354
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浮冰导弹垂发阵列,TDB_hu_luo_bo1,,,11000,4000,,120,28,25,2,400,6,0.4,6,HIGH_EXPLOSIVE,0,,1,1,6,,0,0,0,0,,20,5,10,200,"SYSTEM,DO_NOT_AIM,DO_NOT_CONSERVE,FIRE_WHEN_INEFFICIENT",,,弧光设计局,,压制,,,,,,,,,,4365
浮冰二段,TDB_hu_luo_bo3,,,11000,4000,,150,28,25,2,400,1,0.1,1,HIGH_EXPLOSIVE,0,,1,1,1,,0,0,0,0,,400,100,10,200,"SYSTEM,DO_NOT_AIM,DIRECT_AIM",,,弧光设计局,,压制,,,,,,,,,,4365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云间导弹垂发单元,TDB_yun_jian,,,11000,10000,,100,28,10,2,400,1,0.1,1,HIGH_EXPLOSIVE,0,,1,1,1,,0,0,0,0,,10,5,10,200,"SYSTEM,DO_NOT_AIM,PD_ONLY,PD",,,弧光设计局,,点防御,,,,,{%s}对{%s}范围内的目标造成溅射伤害。,防空破片:|100,,,,4365
云间导弹垂发单元,TDB_yun_jian2,,,11000,10000,,100,28,10,2,400,1,0.1,1,HIGH_EXPLOSIVE,0,,1,1,1,,0,0,0,0,,10,5,10,200,"SYSTEM,DO_NOT_AIM,PD_ONLY,PD",,,弧光设计局,,点防御,,,,,{%s}对{%s}范围内的目标造成溅射伤害。,防空破片:|100,,,,4365
云间二段,TDB_yun_jian3,,,11000,10000,,100,28,10,2,400,1,0.1,1,HIGH_EXPLOSIVE,0,,1,1,1,,0,0,0,0,,600,100,10,200,"SYSTEM,DO_NOT_AIM,PD_ONLY,PD",,,弧光设计局,,点防御,,,,,{%s}对{%s}范围内的目标造成溅射伤害。,防空破片:|100,,,,4365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
霜痕巡航导弹垂发单元,TDB_duanhen,,,11000,10000,,1000,28,30,2,400,1,0.1,1,HIGH_EXPLOSIVE,0,,1,1,1,,0,0,0,0,,100,5,15,500,"SYSTEM,DO_NOT_AIM,DO_NOT_CONSERVE,FIRE_WHEN_INEFFICIENT",,,弧光设计局,,远程支援,,,,,,,,,,4365
霜痕巡航导弹垂发单元,TDB_duanhen2,,,11000,10000,,1000,28,30,2,400,1,0.1,1,HIGH_EXPLOSIVE,0,,1,1,1,,0,0,0,0,,100,5,15,500,"SYSTEM,DO_NOT_AIM,DO_NOT_CONSERVE,FIRE_WHEN_INEFFICIENT",,,弧光设计局,,远程支援,,,,,,,,,,4365
霜痕二段,TDB_duanhen3,,,11000,10000,,1000,28,30,2,400,1,0.1,1,HIGH_EXPLOSIVE,0,,1,1,1,,0,0,0,0,,450,400,15,500,"SYSTEM,DO_NOT_AIM,DIRECT_AIM",,,弧光设计局,,远程支援,,,,,,,,,,4365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雪霰导弹阵列,TDB_ji_yu_yun_missile_L,1,,4000,2500,,250,200,5,30,0,20,2,20,ENERGY,280,,1.5,1.5,20,0.1,0,0,0,0,,800,200,3.5,300,"SYSTEM,DO_NOT_AIM,DO_NOT_CONSERVE,FIRE_WHEN_INEFFICIENT","no_drop,no_sell,no_dealer,no_drop_salvage,restricted,hide_in_codex",,弧光设计局,,远程支援,,,,,,,,,,16.3
雪霰导弹阵列,TDB_ji_yu_yun_missile_R,1,,4000,2500,,250,200,5,30,0,20,2,20,ENERGY,280,,1.5,1.5,20,0.1,0,0,0,0,,800,200,3.5,300,"SYSTEM,DO_NOT_AIM,DO_NOT_CONSERVE,FIRE_WHEN_INEFFICIENT","no_drop,no_sell,no_dealer,no_drop_salvage,restricted,hide_in_codex",,弧光设计局,,远程支援,,,,,,,,,,16.3
雪霰火炮阵列,TDB_ji_yu_yun_artillery_L,1,,4000,1200,,400,400,5,30,0,20,1.5,20,ENERGY,240,,0.8,1.2,10,0.1,5,5,0,0,,1200,200,,300,SYSTEM,"no_drop,no_sell,no_dealer,no_drop_salvage,restricted,hide_in_codex",,弧光设计局,,远程支援,,,,,,,,,,16.3
雪霰火炮阵列,TDB_ji_yu_yun_artillery_R,1,,4000,1200,,400,400,5,30,0,20,1.5,20,ENERGY,240,,0.8,1.2,10,0.1,5,5,0,0,,1200,200,,300,SYSTEM,"no_drop,no_sell,no_dealer,no_drop_salvage,restricted,hide_in_codex",,弧光设计局,,远程支援,,,,,,,,,,16.3
雪霰无人机阵列,TDB_ji_yu_yun_drone_L,1,,4000,2500,,400,400,5,30,0,10,1.5,20,ENERGY,400,,1.5,1.5,10,0.1,0,0,0,0,,800,200,3.5,300,SYSTEM,"no_drop,no_sell,no_dealer,no_drop_salvage,restricted,hide_in_codex",,弧光设计局,,远程支援,,,,,{%s}存在时间{%s}血量{%s}装甲{%s}。,脉冲光无人机:|:30s|:300|:100,,,,16.3
雪霰无人机阵列,TDB_ji_yu_yun_drone_R,1,,4000,2500,,400,400,5,30,0,10,1.5,20,ENERGY,400,,1.5,1.5,10,0.1,0,0,0,0,,800,200,3.5,300,SYSTEM,"no_drop,no_sell,no_dealer,no_drop_salvage,restricted,hide_in_codex",,弧光设计局,,远程支援,,,,,{%s}存在时间{%s}血量{%s}装甲{%s}。,脉冲光无人机:|:30s|:300|:100,,,,16.3
永寂海电磁冲击系统,TDB_ji_yu_yun_C,,,4000,1200,,6400,3000,200,0,0,2,0.02,1,ENERGY,12800,,3.5,0,1,,0,5,1,3,,2000,,,,SYSTEM,"no_drop,no_sell,no_dealer,no_drop_salvage,restricted,hide_in_codex",,弧光设计局,,瘫痪打击,,,,,{%s}对{%s}范围内的所有单位造成随范围衰减的{%s}点伤害，并过载{%s}秒。,电磁风暴:|800|800|8,,,,
集束打击系统,TDB_ji_yu_yun_C_ShotGun,,,4000,1000,,6400,3000,200,0,0,2,0.02,1,ENERGY,12800,,3.5,0,1,,0,5,1,3,,2000,,,,SYSTEM,"no_drop,no_sell,no_dealer,no_drop_salvage,restricted,hide_in_codex",,弧光设计局,,瘫痪打击,,,,,,,,,,
集束打击系统子弹头,TDB_ji_yu_yun_C_ShotGun_sub,2,,,700,,250,,10,0,,,,,HIGH_EXPLOSIVE,,,0,1,2,,0,0,0,0,,700,,,25,SYSTEM,"no_drop,no_sell,no_dealer,no_drop_salvage,restricted,hide_in_codex",,弧光设计局,,瘫痪打击,,,,,,,,,,
积雨云盖板,TDB_ji_yu_yun_C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,弧光设计局,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.D光束枪,TDB_T.D,,,400,900,1000,,,0,0,0,,,,ENERGY,,800,0.01,1,0.5,1,,,,,90000,,,,,SYSTEM,,,北国芳华,,多功能,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三色堇子弹头,TDB_san_se_jin1,,,11000,10000,,50,200,10,2,400,1,0.1,1,ENERGY,0,,1,1,1,,0,0,0,0,,750,100,10,200,"SYSTEM,DO_NOT_AIM,PD_ONLY",,,弧光设计局,,压制,,,,,,,,,,4365
三色堇子弹头2,TDB_san_se_jin2,,,11000,10000,,250,0,10,2,400,1,0.1,1,ENERGY,0,,1,1,1,,0,0,0,0,,700,100,10,200,"SYSTEM,DO_NOT_AIM,PD_ONLY",,,弧光设计局,,压制,,,,,,,,,,4365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九尾狐导弹发射架,TDB_jiu_wei,2,,2000,1100,,2500,,15,20,12,1,,,KINETIC,0,,0,5,1,,0,0,0,0,,150,0,12,600,"SYSTEM, GUIDED_POOR",,,弧光设计局,,反护盾,,,,,{%s}靠近目标时将发射一条{%s}伤害的光束，命中护盾时将对目标额外增加{%s}因盾效而波动的硬幅能,共振能量束:|1000|3000,,3000,,
九尾狐导弹预瞄束,TDB_jiu_wei2,0,,1,0,100,,,0,200,0,,,,KINETIC,,0,0.05,0.05,,,,,,,1000000,,,,,SYSTEM,,,弧光设计局,,反护盾,,,,,,,,,,
九尾狐导弹主光束,TDB_jiu_wei3,2,,0,1000,2000,,,,20,0,,,,ENERGY,0,,0,0.75,0.25,0.5,,,,,1000000,,,,,"SYSTEM, DANGEROUS",fires_one_burst,,弧光设计局,,反护盾,,,,,,,,,,
