trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
TDB_lian_shuo_trail0,TDB_lian_shuo_shot,TDB_trail_0,10,0.1,0.2,0.3,15,10,"[150,150,230]","[150,100,255]",0.75,250,0,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,true,false
TDB_lian_shuo_trail1,TDB_lian_shuo_shot,TDB_trail_5,13,0.1,0.4,0.4,50,32,"[65,156,255]","[150,100,255]",0.25,375,100,15,0,1,TRUE,FALSE,TRUE,30,60,0.4,0,15,30,true,false
TDB_lian_shuo_trail2,TDB_lian_shuo_shot,TDB_trail_3,10,0,0.1,0.5,40,20,"[255,255,255]","[0,255,235]",1,200,-2000,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
TDB_lian_shuo_trail3,TDB_lian_shuo_shot,TDB_trail_5,10,0,0.03,1.2,10,70,"[150,150,230]","[150,100,255]",0.5,200,50,-50,5,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_cai_yu_shot_trail0,TDB_cai_yu_shot,TDB_trail_5,10,0,0.15,0.1,20,15,"[62,106,192]","[62,106,192]",0.5,200,-3000,20,0,1,TRUE,FALSE,TRUE,10,20,0.3,0,800,400,true,false
TDB_cai_yu_shot_trail1,TDB_cai_yu_shot,TDB_trail_2,10,0,0.15,0.1,20,10,"[95,75,255]","[170,150,255]",0.5,200,-3000,20,0,1,TRUE,FALSE,TRUE,10,20,0.3,0,800,400,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_XZ_trail1,TDB_XZ_shot,TDB_trail_5,10,0.05,0.1,0.15,25,5,"[85,218,255]","[116,22,171]",0.8,400,20,10,5,1,TRUE,FALSE,TRUE,70,10,0.2,0,60,0,TRUE,FALSE
TDB_XZ_trail2,TDB_XZ_shot,TDB_trail_2,10,0.05,0.15,0.25,25,5,"[85,218,255]","[116,22,171]",0.9,400,20,10,5,1,TRUE,FALSE,TRUE,50,10,0.2,0,40,0,TRUE,FALSE
TDB_XZ_trail3,TDB_XZ_shot,TDB_shao2,10,0.05,0.2,0.2,25,5,"[255,255,255]","[50,0,150]",1,400,20,10,5,1,TRUE,FALSE,TRUE,30,10,0.2,0,20,0,TRUE,FALSE
TDB_XZ_trail4,TDB_XZ_shot,TDB_shao2,10,0,0.3,0.3,20,20,"[150,150,150]","[57,40,150]",0.4,400,20,10,20,1,TRUE,FALSE,TRUE,30,20,0.3,0,80,35,TRUE,FALSE
TDB_XZ_trail5,TDB_XZ_shot,TDB_na_mi,10,0,0.3,0.3,20,20,"[150,150,150]","[57,40,150]",0.4,400,20,10,20,1,TRUE,FALSE,TRUE,30,20,0.3,0,75,15,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_foehn_trail0,TDB_foehn,TDB_trail_0,10,0.1,0.2,0.3,10,15,"[150,150,230]","[150,100,255]",0.75,250,0,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,true,false
TDB_foehn_trail1,TDB_foehn,TDB_trail_5,10,0.1,0.3,0.3,30,70,"[65,156,255]","[150,100,255]",0.25,375,100,15,0,1,TRUE,FALSE,TRUE,30,60,0.4,0,15,30,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_yun_chui_shot_trail0,TDB_yun_chui_shot,TDB_trail_5,10,0.1,0.2,0.3,10,15,"[110,110,110]","[110,110,110]",0.75,250,0,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_shuang_jiang_shot_trail0,TDB_shuang_jiang_shot,TDB_trail_5,10,0,0.1,0.2,10,15,"[97,11,185]","[25,100,155]",0.4,250,0,15,0,1,TRUE,FALSE,TRUE,10,20,0.3,0,500,200,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_feng_zu_shot_trail0,TDB_feng_zu_shot,TDB_trail_5,10,0,0.1,0.2,2,4,"[107,107,107]","[107,107,107]",0.75,250,0,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_flak_shot_trail0,TDB_flak_shot,TDB_trail_5,10,0,0.1,0.2,10,15,"[108,122,155]","[71,89,141]",0.75,250,50,20,0,1,TRUE,FALSE,TRUE,10,20,0.3,0,500,200,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_yin_hua_shot_trail0,TDB_yin_hua_shot,TDB_trail_5,10,0,0.1,0.2,10,15,"[108,122,155]","[71,89,141]",0.75,250,50,20,0,1,TRUE,FALSE,TRUE,10,20,0.3,0,500,200,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_tai_yang_feng_0,TDB_tai_yang_feng_shot,TDB_trail_3,10,0,0.05,0.2,180,140,"[62,106,192]","[62,106,192]",1,200,-1500,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
TDB_tai_yang_feng_1,TDB_tai_yang_feng_shot,TDB_trail_3,10,0,0.2,1,118,18,"[255,255,255]","[62,106,192]",1,200,-3000,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
TDB_tai_yang_feng_2,TDB_tai_yang_feng_shot,TDB_trail_3,10,0,0.03,2,11,175,"[255,255,255]","[62,106,192]",0.5,200,50,-100,5,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
TDB_tai_yang_feng_3,TDB_tai_yang_feng_shot,TDB_trail_3,10,0,0.1,0.5,140,120,"[255,255,255]","[62,106,192]",1,200,-2000,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_duan_hen_trail0,TDB_duan_hen2,TDB_trail_0,10,0.1,0.2,0.3,10,15,"[150,150,230]","[150,100,255]",0.75,250,0,15,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,true,false
TDB_duan_hen_trail1,TDB_duan_hen2,TDB_trail_5,10,0,0.7,0.9,30,70,"[56,45,251]","[251,45,245]",0.4,375,100,15,0,1,TRUE,FALSE,TRUE,30,60,0.4,0,15,30,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_jie_shuang_2,TDB_jie_shuang,TDB_trail_5,5,0,0.05,0.4,16,1,"[185,218,255]","[185,218,255]",0.5,200,300,20,2,1,TRUE,FALSE,TRUE,100,20,0,0,0,0,TRUE,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_hai_tong_shot,TDB_hai_tong_shot,TDB_trail_5,5,0,0.1,0.4,20,2,"[22,144,238]","[185,22,255]",0.9,200,300,20,2,1,TRUE,FALSE,TRUE,100,20,0,0,0,0,TRUE,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_ji_yu_yun_missile_shot,TDB_ji_yu_yun_missile_shot,TDB_trail_5,5,0,0.1,0.4,20,2,"[22,144,238]","[255,22,170]",0.9,200,300,20,2,1,TRUE,FALSE,TRUE,100,20,0,0,0,0,TRUE,false
TDB_ji_yu_yun_missile_shot1,TDB_ji_yu_yun_missile_shot,TDB_trail_5,10,0,0.3,0.2,20,5,"[62,106,192]","[255,22,170]",0.5,200,50,20,0,1,TRUE,FALSE,TRUE,10,20,0.3,0,500,200,true,false
