id,type,text1,text2,text3,notes,Column 07,Column 08
TDB_ht,SHIP,"寒天学者级是一艘实验性的P空间相位巡洋舰，设计局常将其作为单舰突击力量投入斩首任务。此类作战往往要求舰船在敌后长期隐蔽、伺机而动。为最大限度降低相位线圈持续运转带来的空间辐射与精神负荷对乘员的累积伤害，同时避免亚空间潜航对船员心理造成的不可逆影响，设计局最终决定将该舰转移至越空防壁计划定为无人型号。

当你观测到多波次相位鱼雷正以惊人的速度从P空间中浮出时，那便是寒天学者级即将浮出、给予猎物致命一击的信号。不过，这个“信号”不如说是讣告——等你察觉鱼雷的轨迹，自己早已是砧板上的鱼肉了。

该舰是弧光设计局越空防壁计划产物之一。对外宣称为通过特定系统远程操作的无人舰艇“不适合远程巡航”。该种设计的战舰被广泛部署于弧光设计总局周边进行防御。",,,,,
,,,,,,,
TDB_qiong_ding,SHIP,"穹顶级大型巡洋舰重新定义了同级舰船的标杆。颠覆性的火力与电网配置，充足的飞行甲板与独特的战术系统，你几乎能在它的身上找到你想要的一切。

大型巡洋舰设计介于传统重巡洋舰和战列巡游舰之间，强调高速、强火力的同时具备一定防护，但比战列舰更轻便。穹顶级正是完美贯彻了这种理念的产物，它是中小型舰队梦寐以求的绝对核心。在战斗中能轻松碾压绝大多数巡洋舰和驱逐舰，哪怕是远超其吨位的主力级战舰也很难从它手上讨到多少好处。

然而，其略显低下的费效比也引来了不少反对声:“既然能上战列舰或战列巡洋舰，那还何必要它呢？”",,,,,
,,,,,,,
TDB_ren_zhao_guang,SHIP,"这是一艘被尘封多年的战舰，舰船内的一切都被收拾的整整齐齐。

你直径来到指挥室，发现指挥室的舰长座位上放着一封信，看字迹你很确定写信的还是那位少女。信上为你介绍了这艘船的经历。

正如她的名字一般，她曾是一个破灭帝国雄心的体现，但随着帝国的衰败与破灭她却以另一种形式放射出微弱的光。

这抹光并没有随着帝国的败落而逐渐消失，她的意志已被后人所延续，而她的使命也已完成。

——“现在我将她赠予你，请你用它来书写属于你的光辉吧。”",,,,,
,,,,,,,
TDB_dong_yu,SHIP,冬雨级战列巡洋舰作为一艘次主力舰拥有着十分可观的机动性，搭载于其内部的空间偏移系统作为设计局的得意研发之一，可以在启动期间为其提供极大的伤害减免，速度和质量加成，让她在面对复杂的战场环境时可以相对灵活的调度，并在关键时刻成为撕裂敌人阵线的突破手。在后续的改进中，设计局针对该舰围绕突破属性进行了着重改造，添加了一块拥有阻尼系统的模块化装甲，方便维护的同时也让其在正面对抗目标时更加得心应手。,,,,,
TDB_dong_yu_armor,SHIP,冬雨级的模块装甲。,,,,,
,,,,,,,
TDB_yu_lian,SHIP,一种中规中矩的标准驱逐舰，雨帘级被弧光设计局作为常规舰队的中坚力量广泛部署。其武器槽位虽略显不足，但热辐环流线圈与可靠的护盾系统在一定程度上弥补了这些短板。漫长的服役生涯也证明它无明显缺陷，但同样，也谈不上任何亮眼之处。不过，当一艘船最锋利的武器是“让人想不起它有什么缺点”时，它或许已经赢了。,,,,,
,,,,,,,
TDB_feng_xian,SHIP,风弦级护卫舰的造价曾让设计局的财务部门眼前一黑，不仅单舰成本高昂，其占用的部署资源也远超同级护卫舰。但它换回了一套能将舰船短暂带入特殊空间的驱动系统，以及远超同级的电网配置。在实战中，这意味着它能从包围圈的缝隙里消失，又在敌人最脆弱的方位重新浮现，递出致命一击。护卫舰的天职是开路与抢点，而风弦级把这两件事做到了极致。,,,,,
,,,,,,,
TDB_he_feng,SHIP,专门为探险家设计的货舰，能在装载数量可观的货物同时携带一定量的燃油。舰体集成了先进的勘探设备让其注定能在你打捞探险的旅途中大放异彩。,,,,,
,,,,,,,
TDB_hengfeng,SHIP,如果要选出最能代表弧光设计局的舰船，那答案非恒风级战列舰莫属。作为设计局产量最大、技术最成熟的主力舰，其设计理念完美诠释了弧光海军的核心学说。“霜痕”巡航导弹垂发系统与先进目标定位系统令它无愧于火力平台之称，能在极远距离上对敌军舰队展开打击，内置的热幅环流系统则进一步强化了这一属性。然而，为容纳这些庞大系统，舰体装甲被压缩到了战列舰中相当脆弱的水准。任何一名明智的舰长都不会轻视它的远程火力，但同样，也不会让它暴露在集火之中。,,,,,
,,,,,,,
TDB_ji_yu_yun,SHIP,"积雨云级是弧光设计局用预算堆出来的终极答案，也是最强、最昂贵、技术最先进的杰作之一，仅会被部署于最强主力舰队中担任旗舰。尽管作为航空要塞，多数时间坐镇后方，但这艘巨舰凭借其复杂而精密的火力体系与坚固护盾，拥有以一舰之力覆灭整支舰队的威慑力。而她搭载的全套先进战场指挥系统及紧急后勤保障设备，也让其理论上足以支撑与指挥一支大规模特遣舰队。

有确切情报证实，积雨云级已有一艘在弧光海军中服役，但鲜有人目睹其起航。长期的隐匿已让外界开始质疑:这艘巨舰是否仅仅是“存在舰队”的象征？而它的实际作战能力，又是否真如当局所宣称的那般不可战胜？",,,,,
TDB_ji_yu_yun_you,SHIP,积雨云级的一个模块结构。,,,,,
TDB_ji_yu_yun_zuo,SHIP,积雨云级的一个模块结构。,,,,,
,,,,,,,
TDB_ceng_ji_yun,SHIP,"层积云级作为设计局最经常使用的中坚航母，充沛的防空导弹阵列与专业的指挥系统使其能在进行专业航空打击的同时为前线提供大量火力支援。它的设计也依旧对标了星区内苍鹭级，因此它的航行速度也同苍鹭一样配得上高速航母之称。

根据官方消息，层积云级确实在建设时得到了来自盟友[蓝海渔业]的帮助，但根据小道消息称，其实是由于强迫症而改成了对称的舰型，但很显然，这种毫无根据的传言十分站不住脚。
",,,,,
,,,,,,,
#武器描述,,,,,,,
TDB_ling_gan,WEAPON,内置于激流级的特殊光束炮，同现实通孔设备之间链接，可以做到一定程度上的现实扭曲。,,,,,
,,,,,,,
TDB_jiu_wei,WEAPON,出自弧光设计局的实验性光束导弹，通过可以瞬间爆发共振能量束来瞬间瓦解目标的护盾而闻名。其充沛的爆发能量哪怕未能成功命中护盾也能对轻型舰船造成不小的威胁。当她成功突破防空圈并开始扫描你的舰船时，你能做的只有默默祈祷舰船的电网系统能撑得住这一次致命的摧残。,,,,,
,,,,,,,
TDB_shuang_tang,WEAPON,一种常用于地面战场前线的自供能全自动武器站，在简单的改装后可以直接适配于舰艇。尽管这种武器的威力对于大部分星舰，甚至是民用舰船来说基本可以完全忽略不计，尽管这种武器在长时间开火时精度会下降，但几乎等于零的成本还是让她成为了填补槽位的首选。,,,,,
,,,,,,,
TDB_yun_chui,WEAPON,云锤转轮炮采用了转管的形式来达到连续发射的目的，在长时间开火的情况下会导致射击精度的严重下降，但仍不妨碍她是一款不错的反盾武器，甚至在紧急情况下其特制的弹丸在如暴雨般射速的加持下能用来拦截敌方导弹。,,,,,
,,,,,,,
TDB_quan_fan_she,WEAPON,全反射超级战机的主要武器。,,,,,
,,,,,,,
TDB_foehn,WEAPON,专门为偏振光级轰炸机研制的机载鱼雷，能给予被命中的目标重创，不管是护盾还是舰体。,,,,,
,,,,,,,
TDB_jue_xiang1,WEAPON,"弧光设计局设计的专为防空而生的导弹,优秀的追踪能力配合内置的微型纳米锻炉让其成为了敌军空军的噩梦.",,,,,
,,,,,,,
TDB_han_chao,WEAPON,寒潮无人机发射舱虽然看起来更像是完全的军用定位产品，但它依旧是“狐狸座”计划的一部分。发射器仅负责推离发射舱与发射舱的重装填，当发射舱飞离母舰一定距离后会展开并将其中的一次性无人机”畏光症“快速弹出。无人机在离开母舰后会自主进行周边侦察与战斗，在无人机受到严重伤害时，会自动冲向敌人并启动“天空之镜”自毁系统。此武器在一经出售便获取了来自勘探队与佣兵的一致好评。,,,,,
,,,,,,,
TDB_feng_zu,WEAPON,设计局为喜欢实弹舰船的舰长研发的实弹近防炮，风阻近防炮依靠两个三管转轮炮向目标快速倾泻大量弹丸来拦截目标。同样，其狂爆的射速也导致了其在长时间连续开火时射击精度会快速下降。,,,,,
,,,,,,,
TDB_yuen_ying,WEAPON,云影质子撞击炮发射的特制弹头在命中船体后，内部的质子团撞针会撞击原子释放能量，引发分子融毁链式反应。这种从分子层面瓦解舰体结构的方式，令它的毁灭性不可小觑。,,,,,
TDB_yun_ying_L,WEAPON,云影质子撞击炮的六联装放大版本，越空防壁计划最疯狂的产物之一。转轮式发射机构赋予它连续六次开火的能力，巨量装药所引发分子溶解链式反应能彻底毁灭在反应区域内的一切，哪怕星域内最为坚固的船体也不例外。,,,,,
,,,,,,,
TDB_tai_yang_feng,WEAPON,太阳风磁轨炮以极高初速赋予特制电磁弹头惊人的飞行距离。弹头在飞行途中持续释放电弧，命中瞬间引发大范围电磁振荡，融毁目标舰体的电子设备。每次开火所消耗的巨额幅能与造价不菲的弹头，共同支撑着它的毁灭性。,,,,,
,,,,,,,
TDB_ni_lan,WEAPON,逆岚频射光束炮通过激发预制的充能电容器来实现短时间内的快速火力爆发，但这也导致每次全部激发完毕后需要一定时间重新为电容器充能。在舰船处于低幅能水平时，武器的线圈将进行超压充能以提高输出。,,,,,
,,,,,,,
TDB_ji_yu_yun_C,WEAPON,"""倘若我能靠近你，在深海之下遨游的会是什么？""",- [中古时代诗选] 佚名残卷,,,,
TDB_ji_yu_yun_missile_L,WEAPON,零点弹头使用非线性快子调制空间通量进而诱发大量谐振，在护盾背面诱发虚粒子对逃逸下线设备。,- [设计局档案] 报告第132批次，寒流,,,,
TDB_ji_yu_yun_missile_R,WEAPON,零点弹头使用非线性快子调制空间通量进而诱发大量谐振，在护盾背面诱发虚粒子对逃逸下线设备。,- [设计局档案] 报告第132批次，寒流,,,,
TDB_ji_yu_yun_artillery_L,WEAPON,高能级超弦湮灭矩阵通过超同步相位延迟瞬间凝聚兆瓦级空间剪切流，以近光速齐射散射态奇点弹丸，在极窄幅射角内宣泄饱和坍缩能。,- [设计局档案] 报告第133批次，寒流,,,,
TDB_ji_yu_yun_artillery_R,WEAPON,高能级超弦湮灭矩阵通过超同步相位延迟瞬间凝聚兆瓦级空间剪切流，以近光速齐射散射态奇点弹丸，在极窄幅射角内宣泄饱和坍缩能。,- [设计局档案] 报告第133批次，寒流,,,,
TDB_ji_yu_yun_drone_L,WEAPON,蜂群发射架通过量子相干拓扑流重组空域曲率以实现超高密度映射阵列输出，虽载荷外壳受限至极微弱的能障层，但倾泻而出的纳米级微型机体可瞬间穿透敌方相位防御网。,- [设计局档案] 报告第134批次，寒流,,,,
TDB_ji_yu_yun_drone_R,WEAPON,蜂群发射架通过量子相干拓扑流重组空域曲率以实现超高密度映射阵列输出，虽载荷外壳受限至极微弱的能障层，但倾泻而出的纳米级微型机体可瞬间穿透敌方相位防御网。,- [设计局档案] 报告第134批次，寒流,,,,
,,,,,,,
,,,,,,,
TDB_yun_jian,WEAPON,云间垂发导弹作为一款防空导弹是弧光设计局非常成功的设计，拥有的先进的导航 AI 和优秀的破片效果的同时弹药也并不昂贵，这让其成为了敌军机群的噩梦，每一发都能给予敌军战机范围与伤害都相当可观的杀伤。其配套的纳米锻炉可以源源不断的为其补充弹药以保证其在大规模冲突时的续航能力。,,,,,
TDB_yun_jian2,WEAPON,云间垂发导弹作为一款防空导弹是弧光设计局非常成功的设计，拥有的先进的导航 AI 和优秀的破片效果的同时弹药也并不昂贵，这让其成为了敌军机群的噩梦，每一发都能给予敌军战机范围与伤害都相当可观的杀伤。其配套的纳米锻炉可以源源不断的为其补充弹药以保证其在大规模冲突时的续航能力。,,,,,
,,,,,,,
TDB_T.D,WEAPON,内置于人造光内部的集成光束炮，常规激发迅速。内置的特殊反应堆可以用溢散的能量对预充能电容充能以便在关键时刻给武器过充能来给予敌人重重的一击。,,,,,
,,,,,,,
TDB_ning_hua,WEAPON,凝华等离子火炮能将敌舰装甲和护盾撕裂的同时造成可观的电弧 EMP 来瘫痪敌舰其余系统。,,,,,
,,,,,,,
TDB_cai_yu,WEAPON,一种加压脉冲激光。裁雨相较于其他脉冲激光，它的高压能量脉冲能以更快的速度抵达更远的射程。这种特性让它成为远距离炮击战术的理想选择，深受那些信奉“先敌开火、先敌命中”的指挥官青睐。,,,,,
,,,,,,,
TDB_jie_shuang,WEAPON,一种大型动能蜂群导弹发射系统，内置了重型纳米锻炉持续供弹。搭载的特殊反护盾弹头使其专注于压制敌方护盾，但也彻底失去了反舰载机能力。。,,,,,
TDB_jie_shuang_m,WEAPON,轻型的结霜导弹发射架，体量虽小，仍内置了微型纳米锻炉以逐步恢复弹药储备，确保在持久交战中不会弹尽。相较于大型版本，它的重装填速度和单轮投射密度有所妥协。,,,,,
,,,,,,,
TDB_lian_yi,WEAPON,弧光设计局研发的弹匣式能量速射炮，擅长用高速的急促弹幕瞬间压垮敌人的护盾。尽管是反护盾武器，其对轻型装甲的的毁伤能力也不可小觑。,,,,,
,,,,,,,
TDB_duanhen,WEAPON,内置于舰体的重型导弹垂发单元，和内置的纳米锻炉相连可以源源不断的发射威力巨大的霜痕巡航导弹。,,,,,
TDB_duanhen2,WEAPON,内置于舰体的重型导弹垂发单元，和内置的纳米锻炉相连可以源源不断的发射威力巨大的霜痕巡航导弹。,,,,,
,,,,,,,
TDB_Focuspd,WEAPON,弧光设计局设计的点防御激光炮，相较于其他势力各具特色的点防御系统，各方面表现都略显平庸。但凭借合理的性价比，她仍不失为一款值得信赖的点防御武器。,,,,,
,,,,,,,
TDB_changkongpod,WEAPON,弧光设计局设计的一款能量支援导弹，用高昂的幅能需求换来了极快的恢复和可观的射程。作为一款为专门支援的后排舰船设计的支援导弹，它们通常用于压制敌人。,,,,,
,,,,,,,
